ID,formula,gen_formula,space_group,segments,flat_segments,flatness_score,discovery,binary_flatness,horz_flat_seg,exfoliation_eg,decomp_eng,band_gap,point_group,crystal,A,B,C,D,E,F,radio,f_orb,sg_sto_group,percentage_flat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2dm-3,TlS,AB,2,4,4,0.84646,bottom-up,1,3,0.095794,0.17741,0.9814,-1,triclinic,S,Tl,,,,,non-radioactive,no-f-in-valence,276.0,24.2,0.0,63.0,63.0,63.0,252.0,63.0,42.0,71.0,217.0,258.0,0.0,86.0,40.0,130.0,185.0,38.0,50.0,112.0,151.0,249.0,0.0,126.0,0.0,178.0,137.0,42.0,63.0,105.0,105.0,173.0,0.0,86.0,40.0,128.0,187.0,39.0,51.0,110.0,152.0,248.0
2dm-21,TaI3,AB3,162,3,3,0.88201,bottom-up,1,1,0.097255,0.23111,0.0,-3m,trigonal,I,Ta,,,,,non-radioactive,no-f-in-valence,652.0,85.2,0.0,41.0,84.0,142.0,94.0,17.0,72.0,57.0,85.0,73.0,132.0,134.0,77.0,0.0,24.0,121.0,107.0,126.0,7.0,66.0,60.0,77.0,60.0,153.0,161.0,46.0,0.0,35.0,89.0,143.0,92.0,21.0,84.0,47.0,82.0,68.0,120.0,151.0,76.0,0.0
2dm-22,Li2O,AB2,164,3,3,0.96678,bottom-up,1,4,0.037593,0.18798,1.9866,-3m,trigonal,Li,O,,,,,non-radioactive,no-f-in-valence,377.0,5.8,0.0,0.0,0.0,0.0,48.0,113.0,28.0,0.0,25.0,49.0,67.0,90.0,51.0,0.0,0.0,0.0,0.0,29.0,160.0,0.0,0.0,0.0,74.0,96.0,99.0,25.0,0.0,0.0,0.0,0.0,39.0,119.0,31.0,0.0,28.0,53.0,53.0,74.0,78.0,0.0
2dm-25,VBr4,AB4,123,3,3,0.97834,bottom-up,1,2,0.14029,0.058544,0.0,4/mmm,tetragonal,Br,V,,,,,non-radioactive,no-f-in-valence,726.0,23.9,0.0,0.0,11.0,73.0,64.0,103.0,87.0,10.0,9.0,0.0,9.0,65.0,82.0,0.0,0.0,21.0,88.0,45.0,61.0,105.0,7.0,30.0,0.0,0.0,13.0,134.0,0.0,0.0,14.0,89.0,39.0,94.0,88.0,15.0,18.0,0.0,7.0,56.0,82.0,0.0
2dm-29,SBr,AB,2,4,4,0.82037,bottom-up,1,3,0.067035,0.035965,1.8022,-1,triclinic,Br,S,,,,,non-radioactive,no-f-in-valence,276.0,24.2,0.0,42.0,84.0,95.0,157.0,0.0,84.0,37.0,26.0,154.0,0.0,42.0,84.0,80.0,172.0,0.0,84.0,42.0,42.0,191.0,0.0,42.0,84.0,91.0,161.0,0.0,84.0,35.0,27.0,179.0,0.0,42.0,84.0,119.0,133.0,0.0,84.0,29.0,13.0,134.0
2dm-31,AlF3,AB3,12,3,3,0.91302,bottom-up,1,3,,0.099925,8.4202,2/m,monoclinic,Al,F,,,,,non-radioactive,no-f-in-valence,620.0,76.7,0.0,0.0,21.0,47.0,83.0,95.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,50.0,90.0,95.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,63.0,89.0,91.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2dm-32,MoBr3,AB3,12,3,3,0.97822,bottom-up,1,3,,0.057643,1.0679,2/m,monoclinic,Br,Mo,,,,,non-radioactive,no-f-in-valence,620.0,76.7,0.0,0.0,98.0,140.0,114.0,59.0,93.0,0.0,84.0,6.0,25.0,120.0,134.0,0.0,0.0,105.0,134.0,131.0,50.0,84.0,0.0,84.0,0.0,7.0,152.0,165.0,0.0,0.0,98.0,140.0,114.0,60.0,92.0,0.0,84.0,6.0,25.0,121.0,134.0,0.0
2dm-34,GaSb3,AB3,164,3,3,0.733,bottom-up,1,3,0.32059,0.29722,0.3806,-3m,trigonal,Ga,Sb,,,,,non-radioactive,no-f-in-valence,654.0,20.3,38.0,15.0,27.0,11.0,84.0,68.0,60.0,41.0,112.0,55.0,158.0,192.0,106.0,34.0,9.0,42.0,12.0,93.0,70.0,35.0,52.0,95.0,66.0,181.0,213.0,65.0,42.0,11.0,26.0,5.0,87.0,53.0,79.0,54.0,98.0,49.0,156.0,205.0,101.0,0.0
2dm-56,YbF2,AB2,164,3,3,0.7894,bottom-up,1,3,0.073498,0.10746,7.2622,-3m,trigonal,F,Yb,,,,,non-radioactive,f-in-valence,377.0,5.8,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,50.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,59.0,63.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
2dm-79,NCl4,AB4,1,4,4,0.96742,bottom-up,1,3,,,0.7263,1,triclinic,Cl,N,,,,,non-radioactive,no-f-in-valence,703.0,92.1,25.0,143.0,68.0,111.0,157.0,28.0,50.0,16.0,55.0,77.0,42.0,126.0,63.0,122.0,151.0,21.0,42.0,35.0,58.0,96.0,26.0,142.0,63.0,120.0,153.0,28.0,52.0,20.0,26.0,119.0,21.0,147.0,63.0,115.0,158.0,42.0,42.0,21.0,21.0,95.0
2dm-85,GdCl3,AB3,12,3,3,0.99183,bottom-up,1,3,0.069002,0.0,2.3127,2/m,monoclinic,Cl,Gd,,,,,non-radioactive,f-in-valence,620.0,76.7,0.0,0.0,0.0,34.0,302.0,193.0,143.0,0.0,0.0,0.0,96.0,38.0,101.0,0.0,0.0,0.0,21.0,315.0,196.0,140.0,0.0,0.0,0.0,84.0,42.0,93.0,0.0,0.0,0.0,34.0,302.0,194.0,142.0,0.0,0.0,0.0,96.0,38.0,101.0,0.0
2dm-86,RhI3,AB3,12,3,3,0.98298,bottom-up,1,3,0.090944,0.0,1.2412,2/m,monoclinic,I,Rh,,,,,non-radioactive,no-f-in-valence,620.0,76.7,0.0,0.0,21.0,162.0,84.0,159.0,78.0,84.0,0.0,0.0,61.0,118.0,166.0,0.0,0.0,21.0,143.0,107.0,149.0,84.0,84.0,0.0,0.0,30.0,172.0,200.0,0.0,0.0,21.0,162.0,83.0,161.0,77.0,84.0,0.0,0.0,61.0,118.0,163.0,0.0
2dm-89,PO2,AB2,31,4,4,0.90929,bottom-up,1,3,,0.062975,5.1784,mm2,orthorhombic,O,P,,,,,non-radioactive,no-f-in-valence,345.0,66.7,55.0,61.0,103.0,130.0,126.0,0.0,0.0,0.0,90.0,57.0,42.0,42.0,126.0,126.0,126.0,0.0,0.0,0.0,84.0,42.0,42.0,42.0,126.0,126.0,126.0,0.0,0.0,0.0,98.0,42.0,54.0,49.0,119.0,126.0,126.0,0.0,0.0,0.0,103.0,54.0
2dm-101,US3,AB3,129,3,3,0.89943,bottom-up,1,3,0.054266,0.18322,0.0,4/mmm,tetragonal,S,U,,,,,radioactive,f-in-valence,647.0,19.2,0.0,0.0,42.0,121.0,100.0,77.0,216.0,101.0,46.0,77.0,72.0,74.0,33.0,0.0,16.0,66.0,62.0,150.0,32.0,262.0,46.0,28.0,46.0,84.0,98.0,38.0,0.0,15.0,62.0,74.0,124.0,42.0,254.0,43.0,63.0,69.0,82.0,104.0,24.0,0.0
2dm-103,PBr4,AB4,2,4,4,0.94971,bottom-up,1,3,0.16146,0.1457,0.2215,-1,triclinic,Br,P,,,,,non-radioactive,no-f-in-valence,705.0,66.7,0.0,126.0,0.0,237.0,141.0,0.0,122.0,4.0,82.0,244.0,0.0,115.0,23.0,208.0,158.0,0.0,126.0,0.0,71.0,280.0,0.0,117.0,16.0,235.0,136.0,0.0,123.0,3.0,80.0,310.0,0.0,126.0,0.0,263.0,115.0,0.0,118.0,8.0,82.0,287.0
2dm-107,ThBr4,AB4,14,4,4,0.94358,bottom-up,1,3,,0.0,2.2969,2/m,monoclinic,Br,Th,,,,,radioactive,f-in-valence,717.0,96.4,0.0,0.0,99.0,489.0,420.0,0.0,588.0,157.0,11.0,0.0,0.0,0.0,84.0,488.0,436.0,0.0,588.0,162.0,6.0,0.0,0.0,0.0,84.0,490.0,434.0,0.0,588.0,153.0,15.0,0.0,0.0,0.0,93.0,495.0,420.0,0.0,588.0,148.0,20.0,0.0
