ID,formula,gen_formula,space_group,segments,flat_segments,flatness_score,discovery,binary_flatness,horz_flat_seg,exfoliation_eg,decomp_eng,band_gap,point_group,crystal,A,B,C,D,E,F,radio,f_orb,sg_sto_group,percentage_flat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,has_dos_fingerprint
2dm-3,TlS,AB,2,4,4,0.84646,bottom-up,1,3,0.095794,0.17741,0.9814,-1,triclinic,S,Tl,0,0,0.0,0.0,non-radioactive,no-f-in-valence,276.0,24.2,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.36140000000006,186.0869,73.8656,87.68509999999999,24.9356,87.14980000000001,119.5313,158.29480000000004,119.2734,95.713,0.0,0.0,0.0,0.0,0.0,0.0,104.3932,159.8226,311.6231,375.8941,231.96369999999996,432.05609999999996,401.8306,292.17310000000003,98.20009999999999,104.56909999999999,275.9846,246.38170000000002,0.0,0.0,0.0,0.0,17.4101,61.465399999999995,121.593,353.31890000000004,39.673100000000005,0.0,0.0,0.0,1.8446,170.23319999999998,143.563,152.3264,113.21289999999999,144.01509999999996,193.29110000000003,172.86,128.2161,139.6154,151.06560000000002,190.36639999999997,114.4703,255.63060000000002,275.2097,211.86100000000002,245.757,281.8232,386.20029999999997,356.0466,472.46299999999997,352.6407999999999,287.1207,230.07690000000002,179.3006,137.266,98.6356,0.0,True
2dm-21,TaI3,AB3,162,3,3,0.88201,bottom-up,1,1,0.097255,0.23111,0.0,-3m,trigonal,I,Ta,0,0,0.0,0.0,non-radioactive,no-f-in-valence,652.0,85.2,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,5.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.611000000000004,64.4117,56.838800000000006,14.6341,92.7286,164.24939999999998,58.63920000000001,68.82029999999999,169.21749999999997,157.70500000000004,115.57230000000001,96.9457,108.8823,56.62500000000001,103.1322,69.25200000000001,120.1298,118.93820000000001,54.648599999999995,22.6231,12.094299999999999,0.065,0.0,0.0,52.7225,98.0829,90.00199999999998,57.7588,6.899600000000001,105.93799999999999,134.81310000000002,47.310900000000004,0.0,0.0,3.8970000000000002,73.45779999999999,79.0513,42.788700000000006,139.38750000000002,58.612899999999996,14.450099999999999,61.1095,30.416299999999996,61.56919999999999,49.6704,96.84030000000001,89.01759999999999,93.98449999999998,83.5866,104.38310000000001,162.97279999999998,139.6128,120.87419999999999,134.4822,131.99810000000002,144.2873,178.0881,188.39520000000002,68.85069999999999,31.145500000000002,2.568600000000001,0.0,0.0,0.0,0.0,0.0,0.0,True
2dm-22,Li2O,AB2,164,3,3,0.96678,bottom-up,1,4,0.037593,0.18798,1.9866,-3m,trigonal,Li,O,0,0,0.0,0.0,non-radioactive,no-f-in-valence,377.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.497999999999998,146.76160000000002,167.86540000000002,118.8169,228.54280000000003,140.42829999999998,188.05640000000005,325.73179999999996,187.78240000000002,98.82660000000003,77.79710000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.428,23.587200000000006,23.146799999999995,24.606900000000003,41.397800000000004,53.9104,52.594,77.56500000000001,79.2269,97.2014,108.54159999999999,118.64210000000001,120.79360000000001,133.7623,143.1857,147.274,173.14390000000003,175.87560000000002,160.1401,185.6697,155.3697,176.1377,141.501,139.9225,73.7766,69.8848,40.643699999999995,32.6206,22.422499999999996,1.8535,0.0214,0.0,True
2dm-25,VBr4,AB4,123,3,3,0.97834,bottom-up,1,2,0.14029,0.058544,0.0,4/mmm,tetragonal,Br,V,0,0,0.0,0.0,non-radioactive,no-f-in-valence,726.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406,10.514000000000001,13.838700000000001,20.0326,26.2882,13.9498,10.526999999999997,34.8776,145.66899999999998,57.272600000000004,81.6736,45.0248,54.87600000000001,34.8071,99.81599999999997,11.6831,29.049099999999992,71.99060000000001,70.6778,94.75609999999999,88.81750000000001,56.18890000000001,106.68600000000002,25.831200000000003,62.666799999999995,255.51049999999998,22.266300000000005,11.044599999999999,14.005499999999998,11.7588,12.531299999999998,12.366700000000002,14.001,14.104500000000002,27.668899999999997,23.5588,25.8097,5.187500000000001,0.42340000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5241,7.154200000000001,7.897500000000001,18.3165,33.088300000000004,44.34370000000001,63.8962,78.3124,80.12880000000001,80.61960000000002,71.91799999999999,84.50699999999999,95.3989,81.20790000000001,47.5336,4.3862000000000005,0.0,0.0,True
2dm-29,SBr,AB,2,4,4,0.82037,bottom-up,1,3,0.067035,0.035965,1.8022,-1,triclinic,Br,S,0,0,0.0,0.0,non-radioactive,no-f-in-valence,276.0,24.2,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.3749,286.52369999999996,0.0,123.30799999999999,220.54370000000003,108.9125,107.68339999999998,82.1368,182.8848,20.0828,0.0,0.0,8.6492,88.732,116.4764,274.1942,207.5187,248.3267,152.59320000000002,295.41740000000004,191.97039999999998,207.4637,291.6762,167.39060000000003,155.2207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1396,170.7844,219.03200000000004,175.0273,163.91530000000003,36.2325,0.0,0.0,0.0,0.0,19.730400000000003,54.59729999999999,124.43079999999999,98.18580000000001,101.7707,0.0,0.0,0.0,26.4008,54.47639999999999,82.1176,72.2269,120.00300000000001,167.53670000000002,234.2756,274.04429999999996,262.0425,277.50329999999997,368.1196,334.91939999999994,334.84869999999995,344.7124999999999,329.96219999999994,True
2dm-31,AlF3,AB3,12,3,3,0.91302,bottom-up,1,3,0.0,0.099925,8.4202,2/m,monoclinic,Al,F,0,0,0.0,0.0,non-radioactive,no-f-in-valence,620.0,76.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1937,87.3094,54.93919999999999,6.7156,31.1531,117.75460000000002,231.5169,180.6409,108.4888,272.10190000000006,141.45940000000002,131.9539,102.11140000000002,159.388,233.2804,51.5676,63.0819,208.21670000000003,316.9554,447.5951,580.9835999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2295,12.455,13.794500000000001,True
2dm-32,MoBr3,AB3,12,3,3,0.97822,bottom-up,1,3,0.0,0.057643,1.0679,2/m,monoclinic,Br,Mo,0,0,0.0,0.0,non-radioactive,no-f-in-valence,620.0,76.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,3.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.43019999999999,81.38499999999999,56.4883,200.88590000000002,198.4926,148.28160000000003,74.9466,77.1845,113.3832,75.5615,72.4248,105.824,145.17969999999997,136.83939999999998,164.81380000000001,57.41309999999999,0.0,0.0,5.5646,87.2715,140.693,126.4619,246.9504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0462,255.4849,122.6887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4715000000000003,7.659399999999999,9.048599999999999,9.828499999999998,11.636600000000003,23.9241,37.7287,95.48259999999999,134.0717,120.9117,129.3506,92.5961,114.22120000000001,150.7358,146.7194,112.92899999999997,122.02280000000002,144.40900000000002,128.1171,158.3083,179.3711,58.07800000000001,True
2dm-34,GaSb3,AB3,164,3,3,0.733,bottom-up,1,3,0.32059,0.29722,0.3806,-3m,trigonal,Ga,Sb,0,0,0.0,0.0,non-radioactive,no-f-in-valence,654.0,20.3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,6.0,0.0,2.0,3.0,6.0,4.0,0.0,0.0,0.0,32.7896,151.2647,7.6777,29.078899999999997,227.37349999999998,24.8384,43.704800000000006,106.6841,14.2655,0.0,0.0,3.8329999999999997,29.2952,33.928900000000006,38.01689999999999,64.5996,25.0181,0.0,149.4475,48.5817,0.0,0.0,0.0,3.8670999999999998,61.4848,74.3324,210.73029999999997,117.9825,156.1101,217.61249999999998,126.42679999999999,302.8121,42.5929,15.415000000000001,67.9089,229.8542,316.43789999999996,41.344699999999996,0.0,4.2195,32.1467,39.8358,60.0968,78.2331,55.3018,145.6243,195.85129999999998,176.87589999999997,257.32370000000003,96.6332,537.2809,98.4304,176.2092,54.6718,28.9987,13.721,174.4336,157.92430000000002,297.49519999999995,328.55989999999997,309.4875,316.1769,229.0795,267.3864,301.3201,390.9837,322.45720000000006,428.2107,405.9815000000001,441.1416,165.49730000000002,0.06559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,True
2dm-56,YbF2,AB2,164,3,3,0.7894,bottom-up,1,3,0.073498,0.10746,7.2622,-3m,trigonal,F,Yb,0,0,0.0,0.0,non-radioactive,f-in-valence,377.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8287,64.2678,161.83210000000003,94.7965,163.49450000000002,69.9972,42.015,329.8259,240.82629999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2536,7.2354,7.459800000000001,8.3345,8.5418,12.026,22.0951,24.2793,True
2dm-79,NCl4,AB4,1,4,4,0.96742,bottom-up,1,3,0.0,0.0,0.7263,1,triclinic,Cl,N,0,0,0.0,0.0,non-radioactive,no-f-in-valence,703.0,92.1,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.024,60.969,206.57000000000002,16.707700000000003,17.653200000000002,121.45210000000002,60.18430000000001,94.53070000000001,154.9847,0.0,0.0,0.0,46.146,138.01670000000001,10.2508,90.3117,98.19709999999999,0.0,100.1109,0.0,58.3091,114.76610000000001,148.3027,196.7613,103.991,80.5467,125.3408,68.8013,105.42209999999999,97.96360000000001,0.0,0.0,0.0,101.7302,0.0,6.371700000000001,19.781199999999995,13.5844,14.136299999999999,42.985600000000005,52.276300000000006,34.420500000000004,29.081700000000005,40.01079999999999,47.2941,0.0,0.0,0.0,0.0,0.0,0.0,98.4339,44.553599999999996,47.363800000000005,8.770199999999999,0.0,14.6176,24.528799999999997,33.59930000000001,35.8657,43.812599999999996,53.073699999999995,52.17269999999999,90.2246,89.6829,107.3272,93.596,90.1208,127.00519999999999,134.9891,True
